Days,Advertiser verticals,Device categories,Creative size,Buyer networks,Revenue,Ad impressions,Ad eCPM (£)
6/1/20,Autos & Vehicles,Desktop,Native,Agency B,£39.58 ,48545,£0.82 
6/1/20,Apparel,Desktop,300x250,Agency B,£9.04 ,47784,£0.19 
6/1/20,Autos & Vehicles,High-end mobile devices,Native,Agency B,£44.58 ,45416,£0.98 
6/1/20,Apparel,Desktop,970x250,Agency B,£8.61 ,27105,£0.32 
6/1/20,"Hobbies, Games & Leisure",Desktop,300x250,Agency B,£4.80 ,22408,£0.21 
6/1/20,Health,Desktop,728x90,Agency B,£5.63 ,21677,£0.26 
6/1/20,Business & Industrial,Desktop,728x90,Agency B,£5.68 ,21414,£0.27 
6/1/20,Arts & Entertainment,High-end mobile devices,Interstitial,Agency B,£80.46 ,21333,£3.77 
6/1/20,Finance,Desktop,300x250,Agency B,£5.68 ,19987,£0.28 
6/1/20,Health,Desktop,300x250,Agency B,£5.37 ,19833,£0.27 
6/1/20,Finance,High-end mobile devices,Interstitial,Agency B,£62.19 ,19251,£3.23 
6/1/20,Apparel,Desktop,300x600,Agency B,£10.91 ,18992,£0.57 
6/1/20,"Hobbies, Games & Leisure",Desktop,728x90,Agency B,£3.57 ,18959,£0.19 
6/1/20,Home & Garden,Desktop,728x90,Agency B,£3.82 ,18729,£0.20 
6/1/20,Jobs & Education,Desktop,728x90,Agency B,£2.46 ,16715,£0.15 
6/1/20,Business & Industrial,Desktop,300x250,Agency B,£4.63 ,16441,£0.28 
6/1/20,Business & Industrial,Desktop,Native,Agency B,£17.41 ,16259,£1.07 
6/1/20,"Hobbies, Games & Leisure",Desktop,970x250,Agency B,£5.75 ,16183,£0.36 
6/1/20,Computers & Consumer Electronics,Desktop,728x90,Agency B,£4.09 ,14667,£0.28 
6/1/20,Finance,Desktop,728x90,Agency B,£3.14 ,14303,£0.22 
6/1/20,Autos & Vehicles,Tablets,Native,Agency B,£8.16 ,14086,£0.58 
6/1/20,Finance,High-end mobile devices,300x250,Agency C,£12.09 ,13768,£0.88 
6/1/20,Internet & Telecom,Desktop,300x250,Agency B,£2.76 ,12797,£0.22 
6/1/20,Apparel,Desktop,728x90,Agency B,£4.82 ,12666,£0.38 
6/1/20,Finance,Desktop,970x250,Agency B,£5.56 ,12513,£0.44 
6/1/20,Internet & Telecom,High-end mobile devices,Interstitial,Agency B,£43.18 ,12418,£3.48 
6/1/20,Finance,High-end mobile devices,320x50,Agency C,£9.20 ,12381,£0.74 
6/1/20,Business & Industrial,High-end mobile devices,Interstitial,Agency B,£42.50 ,12266,£3.47 
6/1/20,Business & Industrial,Desktop,970x250,Agency B,£4.53 ,12252,£0.37 
6/1/20,Internet & Telecom,Desktop,728x90,Agency B,£3.61 ,12145,£0.30 
6/1/20,Apparel,High-end mobile devices,300x250,Agency B,£5.52 ,11597,£0.48 
6/1/20,Autos & Vehicles,Desktop,300x250,Agency B,£3.54 ,11421,£0.31 
6/1/20,Internet & Telecom,Desktop,Native,Agency B,£9.37 ,11166,£0.84 
6/1/20,"Hobbies, Games & Leisure",High-end mobile devices,Interstitial,Agency B,£38.05 ,11074,£3.44 
6/1/20,Finance,High-end mobile devices,300x250,Agency B,£8.26 ,10889,£0.76 
